"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_K1319009";"P17931";"1018---1428";"114---250"
"BBa_K1319040";"P42212";"1---714";"1---238"
"BBa_K1320100";"P0AFU5";"21---1352";"1---444"
"BBa_K1321002";"P38058";"1---294";"31---128"
"BBa_K1321003";"P07986";"1---321";"378---484"
"BBa_K1321011";"P30331";"1---165";"2---56"
"BBa_K1321014";"Q01866";"127---606";"277---436"
"BBa_K1321091";"P38058";"148---441";"31---128"
"BBa_K1321092";"P07986";"124---450";"376---484"
"BBa_K1321093";"Q01866";"256---735";"277---436"
"BBa_K1321094";"P38058";"1---294";"31---128"
"BBa_K1321095";"P07986";"1---321";"378---484"
"BBa_K1321096";"Q01866";"127---606";"277---436"
"BBa_K1321101";"P38058";"188---481";"31---128"
"BBa_K1321102";"P07986";"182---508";"376---484"
"BBa_K1321103";"Q01866";"314---793";"277---436"
"BBa_K1321104";"P38058";"53---352";"29---128"
"BBa_K1321105";"P07986";"59---379";"378---484"
"BBa_K1321106";"Q01866";"185---664";"277---436"
"BBa_K1321111";"P38058";"365---658";"31---128"
"BBa_K1321112";"P07986";"359---685";"376---484"
"BBa_K1321113";"Q01866";"491---970";"277---436"
"BBa_K1321114";"P38058";"230---529";"29---128"
"BBa_K1321115";"P07986";"236---556";"378---484"
"BBa_K1321116";"Q01866";"362---841";"277---436"
"BBa_K1321122";"P07986";"175---492";"379---484"
"BBa_K1321123";"Q01866";"298---777";"277---436"
"BBa_K1321126";"Q01866";"127---606";"277---436"
"BBa_K1321138";"P30331";"59---223";"2---56"
"BBa_K1321151";"P38058";"205---498";"31---128"
"BBa_K1321152";"P07986";"208---525";"379---484"
"BBa_K1321154";"P38058";"1---282";"31---124"
"BBa_K1321337";"P42212";"4---711";"3---238"
"BBa_K1321339";"P07984";"1---300";"32---131"
"BBa_K1321341";"P42212";"4---711";"3---238"
"BBa_K1321342";"P07986";"712---1038";"376---484"
"BBa_K1321342";"P42212";"4---711";"3---238"
"BBa_K1321343";"P38058";"189---476";"33---128"
"BBa_K1321344";"P07986";"186---503";"379---484"
"BBa_K1321346";"P38058";"1---318";"31---138"
"BBa_K1321346";"P42212";"310---1017";"3---238"
"BBa_K1321348";"P42212";"4---711";"3---238"
"BBa_K1321349";"P07986";"1---321";"378---484"
"BBa_K1321349";"P42212";"337---1044";"3---238"
"BBa_K1321350";"P42212";"376---1083";"3---238"
"BBa_K1321351";"P07984";"1---300";"32---131"
"BBa_K1321352";"P07986";"244---561";"379---484"
"BBa_K1321353";"P38058";"247---534";"33---128"
"BBa_K1321354";"P42212";"62---769";"3---238"
"BBa_K1321355";"P07986";"770---1096";"376---484"
"BBa_K1321355";"P42212";"62---769";"3---238"
"BBa_K1321359";"P42212";"239---946";"3---238"
"BBa_K1321360";"P38058";"230---553";"29---138"
"BBa_K1321360";"P42212";"545---1252";"3---238"
"BBa_K1321363";"P38058";"424---711";"33---128"
"BBa_K1321365";"P07984";"236---535";"32---131"
"BBa_K1321367";"P42212";"62---769";"3---238"
"BBa_K1321367";"Q01866";"902---1381";"277---436"
"BBa_K1321368";"P38058";"1---294";"31---128"
"BBa_K1321369";"P07986";"1---321";"378---484"
"BBa_K1321370";"Q01866";"309---788";"277---436"
"BBa_K1321371";"P42212";"956---1663";"3---238"
"BBa_K1321371";"Q01866";"362---841";"277---436"
"BBa_K1323009";"Q9U6Y8";"1---675";"1---225"
"BBa_K1323010";"P42212";"4---717";"1---238"
"BBa_K1323011";"P06572";"1---732";"1---244"
"BBa_K1323012";"P0A0D2";"1---780";"1---260"
"BBa_K1323013";"P05057";"1---723";"13---253"
"BBa_K1325000";"P0A2U4";"1---465";"1---155"
"BBa_K1325001";"P0A2S8";"127---753";"2---210"
"BBa_K1325002";"P69066";"1---495";"1---165"
"BBa_K1325003";"P69343";"100---747";"1---216"
"BBa_K1325005";"B7MK73";"1---693";"1---231"
"BBa_K1325006";"P0AEZ6";"1---810";"1---270"
"BBa_K1325007";"Q3Z2X5";"1---264";"1---88"
"BBa_K1328001";"P42212";"800---1513";"1---238"
"BBa_K1328003";"P01308";"115---384";"25---110"
"BBa_K1328004";"P52946";"1---852";"1---284"
"BBa_K133057";"Q9ZL47";"1---780";"1---260"
"BBa_K133060";"Q9NR96";"1---645";"818---1032"
"BBa_K133061";"P01730";"1---1113";"26---396"
"BBa_K133062";"P55992";"1---660";"1---220"
"BBa_K133063";"O15455";"1---453";"754---904"
"BBa_K133064";"Q9NR96";"1---585";"838---1032"
"BBa_K133065";"O15455";"1---600";"705---904"
"BBa_K133067";"O00206";"58---621";"652---839"
"BBa_K133069";"O15455";"1---600";"705---904"
"BBa_K133070";"P0AES8";"1---660";"1---220"
"BBa_K133071";"Q1CV82";"1---1707";"1---569"
"BBa_K1331001";"Q51559";"1---885";"1---295"
"BBa_K1331002";"P54292";"105---791";"1---229"
"BBa_K1331003";"P54291";"114---716";"1---201"
"BBa_K1331005";"P54291";"3289---3891";"1---201"
"BBa_K1331005";"P54292";"2375---3061";"1---229"
"BBa_K1331005";"Q51559";"1---885";"1---295"
"BBa_K1331006";"Q51559";"1---885";"1---295"
"BBa_K1331007";"P54291";"1019---1621";"1---201"
"BBa_K1331007";"P54292";"105---791";"1---229"
"BBa_K133139";"Q48245";"97---462";"366---487"
"BBa_K1332001";"Q9U6Y8";"30---692";"1---221"
"BBa_K1332002";"Q9U6Y8";"30---692";"1---221"
"BBa_K1332007";"P30331";"3---167";"1---55"
"BBa_K1333000";"P03656";"1---1044";"1---348"
"BBa_K1333001";"P69547";"1---1230";"1---410"
"BBa_K1333002";"P69169";"1---1305";"1---424"
"BBa_K1333003";"P03665";"1---1278";"1---426"
"BBa_K1333004";"P69544";"1---261";"1---87"
"BBa_K1333005";"P69541";"1---207";"1---69"
"BBa_K1333101";"P03007";"19---747";"1---243"
"BBa_K1333102";"P04152";"19---1284";"1---422"
"BBa_K1333103";"P0AG13";"19---435";"1---139"
"BBa_K1333104";"P03007";"19---747";"1---243"
"BBa_K1333105";"Q3YYG4";"19---1077";"1---353"
"BBa_K1333106";"P0AG13";"22---366";"25---139"
"BBa_K1333107";"P04152";"1---1266";"1---422"
"BBa_K1333108";"P03007";"1---729";"1---243"
"BBa_K1333109";"P0AG13";"4---348";"25---139"
"BBa_K1333110";"Q3YYG4";"1---1059";"1---353"
"BBa_K1333111";"P03007";"1---729";"1---243"
"BBa_K1333112";"P0AG13";"1---417";"1---139"
"BBa_K1333200";"P03034";"1---711";"1---237"
"BBa_K1333201";"P03034";"1---711";"1---237"
"BBa_K1333202";"P03034";"1---711";"1---237"
"BBa_K1333203";"P03034";"1---711";"1---237"
"BBa_K1334003";"P42406";"21---380";"1---120"
"BBa_K1334014";"P07658";"1---2109";"1---703"
"BBa_K1334015";"O13437";"1---1092";"1---364"
"BBa_K1334016";"P07658";"1---2109";"1---703"
"BBa_K1334017";"P46154";"1---1197";"1---399"
"BBa_K1334029";"P42406";"1---360";"1---120"
"BBa_K1336000";"Q88IY3";"1---609";"1---203"
"BBa_K1336001";"Q88IY3";"1---609";"1---203"
"BBa_K1336002";"P07788";"1---1539";"1---513"
"BBa_K1336003";"P39597";"1---1248";"1---416"
"BBa_K1337000";"P0AA21";"1---717";"1---239"
"BBa_K1339000";"Q3Z2S4";"1---1422";"1---474"
"BBa_K1339001";"P31678";"1---798";"1---266"
"BBa_K1339005";"P00081";"2379---2708";"1---111"
"BBa_K1342002";"P0AC40";"46---1479";"1---478"
"BBa_K1343004";"P00573";"957---3605";"1---883"
"BBa_K1343004";"P03034";"200---910";"1---237"
"BBa_K1344002";"P00644";"10---558";"40---231"
"BBa_K1344008";"Q8FDZ8";"1572---3635";"1---688"
"BBa_K1344010";"Q9KM66";"2010---34";"28---686"
"BBa_K1344011";"P0AAT9";"402---31";"1---124"
"BBa_K1344012";"Q3Z549";"279---34";"1---82"
"BBa_K1347900";"P42212";"419---1129";"1---237"
"BBa_K1347900";"P93830";"1172---1846";"4---228"
"BBa_K1347901";"P42212";"1---711";"1---237"
"BBa_K1347901";"Q9LMA8";"763---1521";"1---253"
"BBa_K1349000";"P0A9T3";"1---1008";"1---336"
"BBa_K1349001";"P0AG23";"1---2232";"1---744"
"BBa_K1349004";"Q9VAM9";"1---519";"1---173"
"BBa_K1349006";"P07363";"1---1962";"1---654"
"BBa_K1349007";"P0ACZ8";"1---681";"1---227"
"BBa_K1350005";"P0AEY8";"1---1230";"1---410"
"BBa_K1351006";"Q02114";"1---999";"1---333"
"BBa_K1351007";"P54421";"1---582";"1---194"
"BBa_K1351010";"P54602";"1---399";"1085---1217"
"BBa_K1351011";"P54603";"1---594";"1---198"
"BBa_K1351017";"O31580";"58---330";"20---110"
"BBa_K1351021";"Q9U6Y8";"1---663";"1---221"
"BBa_K1351023";"P39149";"100---726";"1---209"
"BBa_K1351036";"Q931H9";"1145---1855";"1---237"
"BBa_K1351041";"P33115";"4901---6223";"1---441"
"BBa_K1351041";"P33116";"3123---4925";"14---614"
"BBa_K1351041";"P39774";"1---3090";"1---1030"
"BBa_K1351042";"Q9U6Y8";"31---675";"7---221"
"BBa_K1351043";"O34344";"1488---2096";"1---203"
"BBa_K1351043";"O34616";"474---1442";"1---323"
"BBa_K1351043";"O34889";"1---474";"1---158"
"BBa_K1352003";"O30611";"632---1402";"1---257"
"BBa_K1352003";"P42212";"1616---2323";"3---238"
"BBa_K1352004";"O30611";"632---1402";"1---257"
"BBa_K1352004";"P42212";"1616---2323";"3---238"
"BBa_K1352006";"O30611";"632---1402";"1---257"
"BBa_K1352010";"P39180";"1---3117";"1---1039"
"BBa_K1352011";"P39180";"1---3153";"1---1039"
"BBa_K1352012";"P39180";"1---3051";"1---1039"
"BBa_K1354001";"P00912";"256---927";"1---224"
"BBa_K1354002";"P06526";"37---1563";"1---509"
"BBa_K1356003";"P24474";"1---1704";"1---568"
"BBa_K1356004";"Q59646";"1---438";"1---146"
"BBa_K1356005";"Q59647";"473---580";"195---230"
"BBa_K1356006";"Q9HYL2";"1---1908";"1---636"
"BBa_K1357002";"P0A9G3";"1---903";"1---301"
"BBa_K136046";"P0AEJ5";"1---1350";"1---450"
"BBa_K1361992";"P0AE95";"1---387";"1---129"
"BBa_K1361992";"P0AEA1";"415---828";"1---138"
"BBa_K1361992";"P0AEA2";"858---1688";"1---277"
"BBa_K1361993";"P52107";"1---330";"1---110"
"BBa_K1361994";"P28307";"1---474";"1---151"
"BBa_K1361995";"P0ABK7";"1---396";"1---132"
"BBa_K1361996";"P0ABK7";"1---396";"1---132"
"BBa_K1361997";"P0ABK7";"1---453";"1---151"
"BBa_K1362251";"Q55418";"22---306";"392---486"
"BBa_K1362461";"Q9U6Y8";"1---663";"1---221"
"BBa_K1362500";"P13864";"364---2982";"730---1602"
"BBa_K1365000";"P13068";"1---171";"1---57"
"BBa_K1365001";"P20103";"1---2979";"1---993"
"BBa_K1365002";"Q03203";"1---1800";"1---600"
"BBa_K1365003";"Q03202";"1---1242";"5---418"
"BBa_K1365169";"Q9L8R8";"82---828";"2---250"
"BBa_K1367001";"P14727";"7---1323";"391---799"
"BBa_K1367002";"P14727";"7---1323";"391---799"
"BBa_K137000";"P21179";"1---2259";"1---753"
"BBa_K1370000";"P24232";"1---1188";"1---396"
"BBa_K137001";"P02920";"1---1251";"1---417"
"BBa_K137003";"P02920";"1---1254";"1---417"
"BBa_K137004";"P02920";"1---1257";"1---417"
"BBa_K137007";"P0ADH9";"1---552";"15---198"
"BBa_K137011";"Q9CGE3";"1---1047";"1---349"
"BBa_K137014";"P21179";"1---2256";"1---752"
"BBa_K137017";"P0CS93";"4---1920";"42---680"
"BBa_K137052";"P02981";"1---1188";"1---396"
"BBa_K137067";"P13029";"1---2178";"1---726"
"BBa_K137068";"P13029";"1---2178";"1---726"
"BBa_K137069";"Q54970";"1---1773";"1---591"
"BBa_K137099";"P02981";"40---1224";"2---396"
"BBa_K137100";"P02981";"44---1228";"2---396"
"BBa_K1371001";"Q03131";"1---2484";"505---1332"
"BBa_K1371002";"Q03131";"1---2454";"1980---2796"
"BBa_K1371003";"Q03132";"1---2457";"2312---3130"
"BBa_K1371004";"Q03131";"211---1671";"19---504"
"BBa_K1371005";"Q03131";"1---1374";"1333---1790"
"BBa_K1371006";"Q03131";"1---567";"1791---1979"
"BBa_K1371007";"Q03131";"1---1311";"2797---3233"
"BBa_K1371008";"Q03131";"1---519";"3234---3406"
"BBa_K1371009";"Q03133";"1---846";"2891---3172"
"BBa_K1371011";"P39135";"147---482";"51---161"
"BBa_K1371012";"P06709";"42---1004";"1---321"
"BBa_K137105";"P00722";"40---3108";"2---1024"
"BBa_K137106";"P00722";"44---3112";"2---1024"
"BBa_K137112";"Q1R3Q0";"1---786";"1---262"
"BBa_K137113";"P0DMC9";"1---621";"1---207"
"BBa_K137130";"P0ADH9";"62---613";"15---198"
"BBa_K1373000";"P18843";"1---825";"1---275"
"BBa_K1373005";"P13794";"1---1020";"1---340"
"BBa_K1373020";"P0A9Q4";"1---714";"1---238"
"BBa_K1375004";"P54292";"1---723";"1---241"
"BBa_K1378031";"P03705";"1---315";"3---107"
"BBa_K1378032";"P03706";"1---474";"1---158"
"BBa_K1381004";"P54295";"19---750";"1---244"
"BBa_K1382001";"P08515";"1---654";"1---218"
"BBa_K1386000";"P0ABK5";"1---969";"1---323"
"BBa_K1386000";"Q57506";"988---1662";"2---226"
"BBa_K1391002";"P11912";"1---678";"1---226"
"BBa_K1391003";"P40259";"1---687";"1---229"
"BBa_K1392930";"P23133";"1---828";"1---276"
"BBa_K1392931";"P77608";"1---807";"1---269"
"BBa_K1392932";"Q3Z554";"1---1011";"1---337"
"BBa_K1393000";"P13794";"1---528";"1---176"
"BBa_K1393001";"P13794";"1---591";"1---197"
"BBa_K1393003";"P06996";"1---933";"57---367"
"BBa_K1394001";"Q12306";"54---347";"2---99"
"BBa_K1394002";"Q12306";"54---347";"2---99"
"BBa_K1396000";"P42212";"997---1704";"3---238"
"BBa_K1396002";"P42212";"646---1353";"3---238"
"BBa_K1398002";"P77258";"1---1095";"1---365"
"BBa_K1399000";"Q9U6Y8";"1---663";"1---221"
"BBa_K1399001";"Q9U6Y8";"1---663";"1---221"
"BBa_K1399002";"Q9U6Y8";"1---663";"1---221"
"BBa_K1399003";"Q9U6Y8";"1---663";"1---221"
"BBa_K1399004";"P42212";"1---714";"1---238"
"BBa_K1399005";"P42212";"1---714";"1---238"
"BBa_K1399006";"P42212";"1---714";"1---238"
"BBa_K1399007";"P42212";"1---714";"1---238"
"BBa_K1399008";"P42212";"1---714";"1---238"
"BBa_K1399026";"Q47129";"1---903";"1---301"
"BBa_K1401000";"P43506";"249---584";"81---192"
"BBa_K1401002";"Q9R9T9";"5---643";"1---213"
"BBa_K1401003";"O34619";"5---568";"1---188"
"BBa_K1401600";"P04483";"5---625";"1---207"
"BBa_K1401601";"P0A9E0";"5---601";"1---199"
"BBa_K1401612";"P0A9E0";"313---1188";"1---292"
"BBa_K1401615";"P03023";"165---1244";"1---360"
"BBa_K1402000";"Q32E34";"1---1746";"1---582"
"BBa_K1402004";"Q42561";"95---1180";"1---362"
"BBa_K1402014";"Q41635";"145---1290";"1---382"
"BBa_K1403005";"Q9AR07";"1---1167";"1---389"
"BBa_K1403014";"Q9X839";"1---1098";"1---366"
"BBa_K1403016";"P77880";"1---708";"1---236"
"BBa_K1403019";"P08142";"2091---406";"1---562"
"BBa_K1405002";"P37329";"1---771";"1---257"
"BBa_K1405003";"O30611";"1---537";"1---179"
"BBa_K1405005";"O30611";"1---540";"1---180"
"BBa_K1405005";"P37329";"544---1314";"1---257"
"BBa_K1405006";"O30611";"1---537";"1---179"
"BBa_K1405006";"P42212";"1545---1643";"167---199"
"BBa_K1405009";"O30611";"5---715";"1---237"
"BBa_K1405009";"P37329";"935---1705";"1---257"
"BBa_K1408001";"P04386";"349---615";"1---89"
"BBa_K1408001";"P04486";"712---1095";"363---490"
"BBa_K1408002";"P04386";"351---629";"1---93"
"BBa_K1408002";"P06492";"912---1295";"363---490"
"BBa_K1408002";"P0CY08";"654---851";"2---67"
"BBa_K1409000";"P42212";"913---1623";"2---238"
"BBa_K1409001";"Q9U6Y8";"970---1614";"7---221"
"BBa_K141000";"P04633";"1---921";"1---307"
"BBa_K141002";"P04633";"1---918";"1---307"
"BBa_K141003";"P04633";"1---918";"1---307"
"BBa_K1413021";"P10183";"1---900";"1---300"
"BBa_K1414000";"P42212";"1---714";"1---238"
"BBa_K1414001";"P42212";"193---906";"1---238"
"BBa_K1414002";"P0A9E0";"2169---1294";"1---292"
"BBa_K1414002";"Q01344";"1---1260";"1---420"
"BBa_K1414003";"P03303";"2733---3275";"1539---1719"
"BBa_K1414003";"P32927";"1---2691";"1---897"
"BBa_K1416000";"Q57834";"233---1144";"1---304"
"BBa_K1416001";"Q57834";"233---1144";"1---304"
"BBa_K1418010";"P07984";"97---1347";"33---449"
"BBa_K1418011";"P07984";"97---1347";"33---449"
"BBa_K1418020";"P25718";"1---2028";"1---676"
"BBa_K1418021";"P25718";"1---2028";"1---676"
"BBa_K1418030";"P42212";"4---717";"1---238"
"BBa_K1418031";"P42212";"4---717";"1---238"
"BBa_K1418040";"P42212";"4---717";"1---238"
"BBa_K1418041";"P42212";"4---717";"1---238"
"BBa_K1418060";"P23608";"14---1780";"1---589"
"BBa_K1418062";"P42212";"7---717";"2---238"
"BBa_K1419004";"P04517";"10---717";"2038---2273"
"BBa_K142000";"P03023";"10---1089";"1---360"
"BBa_K1420001";"P94702";"1---1683";"1---561"
"BBa_K1420002";"P08664";"1---636";"1---212"
"BBa_K1420003";"P13113";"1---273";"1---91"
"BBa_K1420004";"P13111";"435---4";"1---144"
"BBa_K1420005";"P13112";"1---348";"1---116"
"BBa_K142001";"P03023";"10---1089";"1---360"
"BBa_K142002";"P03023";"10---1089";"1---360"
"BBa_K142003";"P03023";"10---1089";"1---360"
"BBa_K142004";"P03023";"10---1089";"1---360"
"BBa_K142005";"P03023";"10---1089";"1---360"
"BBa_K142006";"P03023";"10---1089";"1---360"
"BBa_K142007";"P03023";"10---1089";"1---360"
"BBa_K142019";"P03023";"90---1169";"1---360"
"BBa_K142040";"P0AFW2";"1---165";"1---55"
"BBa_K1421006";"Q6NCZ6";"1---654";"1---218"
"BBa_K142200";"P03882";"7---699";"5---235"
"BBa_K142201";"P00970";"1---1461";"1---487"
"BBa_K1424004";"P13006";"1---1815";"1---605"
"BBa_K1430001";"P04173";"1---1092";"1---364"
"BBa_K1430003";"P00912";"1---672";"1---224"
"BBa_K143031";"Q07448";"1---753";"1---251"
"BBa_K143032";"P71054";"1---834";"1---278"
"BBa_K143033";"P03023";"1---1080";"1---360"
"BBa_K143036";"P94490";"1---1050";"35---384"
"BBa_K143037";"O34627";"1---783";"1---261"
"BBa_K143063";"P94490";"1---1050";"35---384"
"BBa_K1431101";"P04483";"7---624";"2---207"
"BBa_K1433011";"P42212";"1041---1754";"1---238"
"BBa_K1433012";"P0A9E0";"2761---1886";"1---292"
"BBa_K1433012";"P42212";"1026---1739";"1---238"
"BBa_K1433013";"P03697";"2231---2908";"1---226"
"BBa_K1433013";"P03698";"1449---2198";"1---250"
"BBa_K1433013";"P0A9E0";"4665---3790";"1---292"
"BBa_K1433013";"P42212";"2930---3643";"1---238"
"BBa_K1433019";"P42212";"405---1118";"1---238"
"BBa_K1433020";"P42212";"750---1463";"1---238"
"BBa_K1433022";"P00551";"945---133";"1---271"
"BBa_K1433022";"P03697";"2319---2996";"1---226"
"BBa_K1433022";"P03698";"1537---2286";"1---250"
"BBa_K1433022";"P0A9E0";"4681---3806";"1---292"
"BBa_K1433022";"P62580";"3012---3668";"1---219"
"BBa_K1434000";"P0ACK1";"19---648";"1---210"
"BBa_K1434002";"P0ACK1";"1---630";"1---210"
"BBa_K1437002";"Q8R4S5";"1---2169";"83---805"
"BBa_K1437005";"Q8R4S5";"1---2169";"83---805"
"BBa_K1437006";"Q8R4S5";"1---2169";"83---805"
"BBa_K1437007";"Q8R4S5";"1---855";"521---805"
"BBa_K1437008";"Q8R4S5";"1---855";"521---805"
"BBa_K1438000";"P0ABD3";"40---510";"2---158"
"BBa_K1438001";"P0ABD3";"1---474";"1---158"
"BBa_K1438002";"P02794";"1---549";"1---183"
"BBa_K1438003";"Q9S7Z3";"262---1701";"6---485"
"BBa_K1439004";"P0CG89";"145---390";"22---103"
"BBa_K1439006";"P0CG89";"64---309";"22---103"
"BBa_K144000";"P31837";"1---1116";"1---372"
"BBa_K1440001";"P03372";"1969---2907";"282---594"
"BBa_K1440001";"P06956";"937---1959";"3---343"
"BBa_K1441013";"P15042";"34---2046";"1---671"
"BBa_K1442027";"Q9WMX2";"1---1770";"2421---3010"
"BBa_K1442028";"P26663";"4---1713";"2420---2989"
"BBa_K1442031";"P00552";"1---792";"1---264"
"BBa_K1442040";"P03612";"1---351";"1---130"
"BBa_K1442100";"P26663";"4---1713";"2420---2989"
"BBa_K1442101";"P26663";"4---498";"2420---2584"
"BBa_K1442102";"P42212";"717---28";"1---230"
"BBa_K1442105";"P42212";"723---34";"1---230"
"BBa_K1442107";"P42212";"723---34";"1---230"
"BBa_K1442112";"P42212";"714---1427";"1---238"
"BBa_K1442302";"P42212";"690---1";"1---230"
"BBa_K1442308";"P42212";"27---740";"1---238"
"BBa_K1446001";"P21161";"55---807";"32---282"
"BBa_K1448000";"Q8L5K4";"1---1311";"40---476"
"BBa_K1448003";"A0A1C9J6A7";"1---1824";"1---607"
"BBa_K1450000";"P00581";"1---2112";"1---704"
"BBa_K1450001";"P00573";"1---2649";"1---883"
"BBa_K1450002";"P03696";"1---633";"1---211"
"BBa_K1450003";"P00581";"157---2268";"1---704"
"BBa_K1450004";"P00573";"157---2805";"1---883"
"BBa_K1450005";"P03696";"157---789";"1---211"
"BBa_K145001";"P00573";"1---2649";"1---883"
"BBa_K145014";"P00573";"88---2736";"1---883"
"BBa_K1453502";"P14727";"9---215";"372---440"
"BBa_K1453503";"P14727";"3---254";"369---452"
"BBa_K1453504";"P14727";"2---217";"654---725"
"BBa_K1453506";"P14727";"7---243";"681---759"
"BBa_K1454000";"Q2XSC5";"1---1692";"1---564"
"BBa_K1456001";"P00750";"17---1702";"1---562"
"BBa_K1456002";"P07203";"80---625";"22---203"
"BBa_K1456003";"P60052";"2---463";"1---154"
"BBa_K1456006";"P00974";"17---316";"1---100"
"BBa_K1456026";"P04483";"1---621";"1---207"
"BBa_K1457000";"Q9U6Y8";"1---663";"1---221"
"BBa_K1458000";"Q9Y2Q3";"86---763";"1---226"
"BBa_K1458002";"P25874";"1---921";"1---307"
"BBa_K1458004";"Q15848";"40---732";"14---244"
"BBa_K1458005";"Q9Y2Q3";"1---678";"1---226"
"BBa_K1459001";"P36556";"1---666";"1---222"
"BBa_K1459002";"P36557";"1---879";"64---356"
"BBa_K1459003";"P36556";"1---666";"1---222"
"BBa_K1459003";"P36557";"679---1746";"1---356"
"BBa_K1459005";"P36556";"1---666";"1---222"
"BBa_K1459010";"P36557";"1---1026";"1---356"
"BBa_K1459016";"P36557";"1---1068";"1---356"
"BBa_K1461008";"P42212";"1---714";"1---238"
"BBa_K1461009";"P42212";"1---714";"1---238"
"BBa_K1462020";"P41338";"1---1194";"1---398"
"BBa_K1462040";"P52046";"1---783";"1---261"
"BBa_K1462050";"Q53865";"1---1341";"1---447"
"BBa_K1462310";"P09559";"1---1179";"1---393"
"BBa_K1462330";"B9KTC8";"1---1377";"1---459"
"BBa_K1462980";"Q3YUJ7";"1---1596";"1---532"
"BBa_K1462990";"Q3YUJ8";"1---291";"1---97"
"BBa_K1463400";"Q9T216";"1---732";"1---244"
"BBa_K1463600";"P04949";"1---1494";"1---498"
"BBa_K1463700";"P09348";"1---885";"1---295"
"BBa_K1463750";"P0AF06";"1---924";"1---308"
"BBa_K1466000";"P00722";"2---664";"77---297"
"BBa_K1467205";"P14727";"2---3493";"1---1164"
"BBa_K1469001";"G5AY81";"1---1656";"1---552"
"BBa_K1469006";"Q81K75";"4---1311";"3---438"
"BBa_K1469008";"B7GIY9";"1---1338";"1---446"
"BBa_K147000";"P76298";"835---2";"1---278"
"BBa_K1470000";"Q09143";"1---1866";"1---622"
"BBa_K1470001";"P13249";"1---597";"1---199"
"BBa_K1470002";"P04386";"1---441";"1---147"
"BBa_K1470007";"Q99ZW2";"1---4101";"2---1368"
"BBa_K147002";"P06622";"1---921";"1---307"
"BBa_K1471001";"P77072";"1---636";"1---212"
"BBa_K1472601";"P0ADA1";"4---546";"28---208"
"BBa_K1472605";"P10384";"7---1344";"1---446"
"BBa_K1473009";"Q99ZW2";"472---4575";"1---1368"
"BBa_K1475002";"G5EGA5";"1---1128";"1---376"
"BBa_K1475003";"P04483";"1---621";"1---207"
"BBa_K1475901";"P04483";"1---621";"1---207"
"BBa_K1476001";"P00551";"278---1090";"1---271"
"BBa_K1476002";"P00551";"278---1090";"1---271"
"BBa_K1476002";"Q55318";"1481---2719";"1---413"
"BBa_K1476004";"P00551";"278---1090";"1---271"
"BBa_K1476004";"P27320";"1670---1960";"1---97"
"BBa_K1477030";"P00720";"91---582";"1---164"
"BBa_K1480001";"P14727";"112---2403";"149---913"
"BBa_K1480001";"P14870";"2488---3018";"407---583"
"BBa_K1483000";"A4Q8F7";"1---1329";"2---444"
"BBa_K1483001";"Q6RUF5";"1---2397";"2---800"
"BBa_K1483002";"Q5L7M8";"4---1752";"23---605"
"BBa_K1483003";"P77966";"1---450";"437---586"
"BBa_K1484000";"Q9GZ28";"9---704";"1---232"
"BBa_K1484002";"Q9U6Y6";"9---695";"1---229"
"BBa_K1484009";"Q94FV7";"1---1152";"1---384"
"BBa_K1484010";"Q94FV7";"1---1152";"1---384"
"BBa_K1484011";"E1U332";"13---927";"4---308"
"BBa_K1484101";"P04386";"9---449";"1---147"
"BBa_K1484102";"G2WJ80";"3---236";"47---124"
"BBa_K1484103";"Q94FV7";"9---1160";"1---384"
"BBa_K1484115";"O24146";"1---1626";"1---542"
"BBa_K1485000";"Q95P04";"6---668";"1---221"
"BBa_K1485002";"P42212";"34---747";"1---238"
"BBa_K1486000";"P0AE90";"1---696";"1---232"
"BBa_K1486001";"P0A9E0";"879---4";"1---292"
"BBa_K1486001";"P0AE90";"1223---1918";"1---232"
"BBa_K1486006";"Q9RZA4";"58---402";"18---132"
"BBa_K1486007";"Q9RZA4";"10---582";"131---321"
"BBa_K1486051";"P0AE69";"16---402";"1---129"
"BBa_K1486054";"P0A9E0";"879---4";"1---292"
"BBa_K1486054";"P0A9H9";"2013---2603";"1---197"
"BBa_K1486054";"P27652";"2688---3290";"111---311"
"BBa_K1486055";"P08659";"2832---4079";"1---416"
"BBa_K1486055";"P0A9E0";"879---4";"1---292"
"BBa_K1486055";"P0A9H9";"2157---2747";"1---197"
"BBa_K1486056";"P0A9E0";"879---4";"1---292"
"BBa_K1486056";"P0AE90";"1237---1932";"1---232"
"BBa_K1486056";"Q9RZA4";"3167---3739";"131---321"
"BBa_K1489001";"P11116";"1---396";"1---132"
"BBa_K1489002";"P0A910";"94---438";"66---180"
"BBa_K1489003";"P0A910";"94---441";"66---181"
"BBa_K1491002";"P42212";"1---714";"1---238"
"BBa_K1491004";"P42212";"4---717";"1---238"
"BBa_K1491006";"Q9U6Y8";"34---678";"7---221"
"BBa_K1491008";"Q9U6Y8";"1---663";"1---221"
"BBa_K1491022";"P00573";"1---1473";"1---491"
"BBa_K1491023";"P00573";"1---1176";"492---883"
"BBa_K1491024";"P03372";"616---1374";"301---553"
"BBa_K1491025";"P00573";"1---1473";"1---491"
"BBa_K1491025";"P03372";"2097---2855";"301---553"
"BBa_K1491026";"P03372";"616---1374";"301---553"
"BBa_K1491027";"P00573";"1---1473";"1---491"
